Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,lon,lat,area (sqm)
1589,Operational,5.0,2014-01-03,-2.103,50.75,70000
1590,Operational,11.0,2014-02-28,1.307,52.901,260000
1591,Operational,6.4,2013-03-29,-4.109,51.064,150000
1592,Operational,31.6,2014-03-31,0.517,52.131,591859
1593,Operational,19.0,2014-03-31,-1.73,51.653,359000
1594,Operational,5.0,2013-10-01,-4.349,50.542,96900
1595,Operational,7.2,2015-01-12,-5.141,50.304,131000
1598,Operational,10.8,2014-03-08,-4.952,51.85,202095
1601,Operational,7.3,2014-01-23,-5.366,50.211,136510
1603,Operational,7.5,2014-01-26,-3.128,50.926,214000
1604,Operational,3.5,2013-04-30,-5.387,50.177,63400
1605,Operational,1.5,2013-04-29,-4.138,51.146,50200
1606,Operational,7.6,2013-06-28,-2.902,50.935,142131
1607,Operational,4.5,2011-07-31,0.482,51.32,107600
1609,Operational,1.2,2011-08-07,-5.056,50.4,41000
1610,Operational,3.6,2012-07-01,-4.335,50.773,84200
1611,Under Construction,5.0,,-2.506,51.205,93411
1612,Operational,5.4,2012-08-01,-2.99,53.041,100906
1613,Operational,16.0,2012-08-03,inf,inf,299536
1614,Operational,1.8,2014-08-01,-4.545,50.796,33447
1616,Operational,1.0,2015-12-15,inf,inf,18456
1617,Operational,1.2,2012-07-26,-3.315,50.874,30500
1618,Operational,1.1,2012-07-27,-3.74,50.852,20330
1619,Operational,1.8,2012-11-26,-2.095,51.363,44500
1620,Operational,6.5,2014-01-17,-2.526,51.28,140600
1622,Operational,8.6,2013-06-07,0.235,53.148,214000
1623,Operational,6.0,2012-01-25,-4.866,51.899,112150
1626,Operational,5.0,2013-05-02,-4.378,50.48,105900
1630,Operational,41.0,2014-12-10,-4.491,50.703,561100
1631,Operational,5.0,2013-06-10,-4.294,50.802,165000
1634,Operational,5.0,2014-03-31,-5.044,51.718,123000
1639,Operational,5.5,2017-02-15,-4.779,50.411,141000
1641,Operational,6.5,2015-03-18,-4.85,50.568,150000
1642,Operational,7.0,2016-03-31,-4.929,50.332,161900
1646,Operational,5.0,2017-04-01,-2.865,51.058,135100
1648,Operational,11.8,2014-03-31,-4.368,50.803,220834
1649,Operational,4.7,2013-10-25,-4.141,51.004,87789
1655,Operational,6.3,2014-11-03,-5.139,50.292,117771
1656,Operational,1.0,2014-02-24,-1.888,51.628,21000
1658,Operational,6.0,2014-03-30,0.498,51.856,155600
1659,Operational,3.3,2014-03-28,-4.12,50.952,61555
1661,Operational,4.4,2015-12-03,-4.993,51.965,82168
1663,Operational,19.8,2014-03-31,-2.449,51.534,403000
1667,Operational,9.0,2014-03-31,-0.559,52.644,187700
1668,Revised,4.9,,-3.404,51.431,91537
1669,Operational,3.0,2014-02-07,-1.36,50.809,66000
1671,Operational,13.0,2015-03-14,-1.226,51.844,243320
1672,Operational,4.8,2015-05-07,0.395,52.594,103300
1673,Operational,6.1,2014-03-21,0.564,52.559,148100
1681,Operational,10.2,2014-03-12,-2.945,51.225,266000
1685,Revised,17.0,,-0.599,52.996,392000
1694,Operational,22.6,2024-03-12,0.192,53.148,340700
1699,Operational,5.0,2013-02-19,-2.675,51.973,93411
1713,Operational,11.5,2013-03-30,0.627,52.673,250000
1714,Operational,7.9,2013-03-29,0.776,52.745,258000
1715,Operational,11.0,2013-12-19,1.526,52.361,205843
1716,Operational,11.5,2013-12-23,-1.357,51.636,258200
1717,Operational,12.3,2013-05-24,1.474,52.352,230203
1718,Operational,10.0,2015-03-20,-4.946,50.361,187104
1719,Operational,18.0,2014-03-31,-4.633,51.828,337013
1720,Operational,6.4,2014-03-31,-3.761,50.42,119645
1721,Operational,18.3,2013-11-12,-1.144,51.865,342635
1723,Operational,1.5,2013-10-25,-2.313,50.913,27826
1724,Operational,9.3,2013-11-30,-1.716,51.592,176000
1725,Operational,14.0,2014-01-22,-2.111,51.626,262059
1726,Operational,1.5,2014-02-23,-5.138,50.304,27826
1727,Operational,8.0,2014-01-15,0.87,51.393,144500
1728,Operational,6.8,2013-03-31,-4.402,50.701,130000
1729,Operational,1.3,2013-09-15,-4.095,50.842,31000
1730,Operational,5.1,2013-03-21,-2.473,53.105,95285
1731,Operational,2.2,2013-05-31,-1.803,52.02,40943
1732,Operational,1.0,2014-08-01,-1.475,52.03,26000
1734,Revised,6.3,,-3.412,50.893,117771
1735,Operational,41.0,2016-03-31,-1.812,51.51,670000
1736,Operational,5.0,2014-02-04,0.391,52.279,93411
1737,Operational,9.0,2014-03-19,-0.237,52.419,200800
1743,Operational,1.5,2014-03-24,-2.437,51.231,27826
1744,Operational,1.7,2014-04-15,-1.417,52.079,31573
1746,Operational,10.5,2016-06-23,-2.925,51.835,270000
1747,Operational,1.0,2013-11-04,-2.822,51.229,22700
1748,Operational,6.8,2013-11-09,-2.02,51.178,127141
1750,Operational,4.8,2013-12-15,-3.201,51.007,104700
1751,Operational,3.9,2015-03-15,1.647,52.34,107000
1752,Operational,30.0,2016-01-13,-0.735,53.022,523000
1753,Operational,10.0,2016-03-31,1.606,52.439,187104
1754,Operational,7.7,2015-02-05,-5.095,50.306,144005
1755,Operational,15.0,2014-04-30,-0.355,52.972,289100
1756,Operational,4.0,2014-12-01,-2.486,52.721,117000
1757,Operational,13.6,2014-03-31,0.789,52.34,226400
1758,Operational,10.2,2014-05-30,-1.132,50.698,190852
1759,Revised,9.8,,-4.25,50.354,183356
1761,Operational,13.2,2014-03-01,-1.865,50.847,247068
1762,Operational,7.3,2015-02-12,-1.138,50.711,136510
1763,Operational,10.0,2014-09-30,0.39,51.564,299900
1764,Operational,6.2,2015-02-18,-2.819,51.113,115897
1765,Operational,31.3,2014-09-12,-4.919,51.819,525000
1766,Operational,24.7,2014-03-27,-0.198,52.379,580000
1767,Operational,11.0,2014-06-22,0.806,51.402,190000
1768,Operational,48.0,2015-03-10,-1.081,50.884,899173
1769,Operational,14.6,2015-03-19,-0.256,52.149,346000
1771,Revised,14.0,,-0.868,53.202,236000
1772,Operational,3.0,2015-01-10,-0.559,52.644,73000
