Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
4518,Operational,19.5,2005-06-23,1.3,15,,-4.775,54.97
4519,Operational,18.2,2007-05-01,1.3,14,,-4.045,55.223
4520,Operational,30.0,2008-03-15,2.0,15,,-3.651,55.184
4521,Revised,30.0,,2.0,15,,-3.515,55.249
4523,Revised,118.8,,3.6,33,145.0,-6.633,58.027
4524,Operational,10.0,2007-10-01,2.5,4,,-3.069,55.164
4525,Operational,43.7,2014-09-01,2.3,19,,-5.587,55.573
4526,Operational,48.0,2008-11-01,3.0,16,125.0,-2.49,55.917
4527,Operational,21.6,1996-10-01,0.6,36,,-4.183,55.297
4529,Under Construction,4.0,,2.0,2,,-4.316,55.173
4532,Operational,9.0,2017-03-16,2.5,3,,-0.814,53.048
4544,Operational,31.0,2017-04-26,3.45,9,,-3.026,55.011
4549,Revised,6.9,,2.3,3,119.0,-0.54,53.717
4552,Operational,96.0,2019-10-01,3.0,32,145.0,-3.489,53.071
4557,Operational,7.1,2017-03-15,2.35,3,110.0,-7.111,54.513
4558,Operational,21.0,2018-02-15,2.3,9,,-6.176,54.951
4561,Revised,23.1,,3.3,7,,-6.11,54.805
4563,Operational,22.0,2018-03-15,2.0,11,,-6.193,54.933
4564,Awaiting Construction,13.8,,2.3,9,,-7.319,54.814
4565,Awaiting Construction,12.6,,1.8,7,,-7.145,54.946
4566,Revised,9.2,,2.3,4,,-6.107,54.81
4570,Application Submitted,36.0,,3.0,12,,-3.273,52.419
4571,Awaiting Construction,45.0,,3.4,13,149.9,-3.559,52.562
4574,Revised,90.0,,3.0,30,,-4.051,55.369
4575,Operational,6.9,2017-03-31,2.3,3,,-2.391,55.921
4580,Operational,15.0,2016-02-18,3.0,5,,-3.763,55.762
4583,Revised,66.0,,2.0,22,,-4.709,58.138
4584,Under Construction,62.4,,4.8,13,180.0,-4.022,58.473
4586,Operational,240.0,2023-06-01,4.8,50,150.0,-4.293,55.317
